adult,belongs_to_collection,id,original_language,original_title,release_date,status,title
False,"{'id': 10194, 'name': 'Toy Story Collection', 'poster_path': '/7G9915LfUQ2lVfwMEEhDsn3kT4B.jpg', 'backdrop_path': '/9FBwqcd9IRruEDUrTdcaafOMKUq.jpg'}",862,en,Toy Story,1995-10-30,Released,Toy Story
False,,8844,en,Jumanji,1995-12-15,Released,Jumanji
False,"{'id': 119050, 'name': 'Grumpy Old Men Collection', 'poster_path': '/nLvUdqgPgm3F85NMCii9gVFUcet.jpg', 'backdrop_path': '/hypTnLot2z8wpFS7qwsQHW1uV8u.jpg'}",15602,en,Grumpier Old Men,1995-12-22,Released,Grumpier Old Men
False,,31357,en,Waiting to Exhale,1995-12-22,Released,Waiting to Exhale
False,"{'id': 96871, 'name': 'Father of the Bride Collection', 'poster_path': '/nts4iOmNnq7GNicycMJ9pSAn204.jpg', 'backdrop_path': '/7qwE57OVZmMJChBpLEbJEmzUydk.jpg'}",11862,en,Father of the Bride Part II,1995-02-10,Released,Father of the Bride Part II
False,,949,en,Heat,1995-12-15,Released,Heat
False,,11860,en,Sabrina,1995-12-15,Released,Sabrina
False,,45325,en,Tom and Huck,1995-12-22,Released,Tom and Huck
False,,9091,en,Sudden Death,1995-12-22,Released,Sudden Death
False,"{'id': 645, 'name': 'James Bond Collection', 'poster_path': '/HORpg5CSkmeQlAolx3bKMrKgfi.jpg', 'backdrop_path': '/6VcVl48kNKvdXOZfJPdarlUGOsk.jpg'}",710,en,GoldenEye,1995-11-16,Released,GoldenEye
False,,9087,en,The American President,1995-11-17,Released,The American President
False,,12110,en,Dracula: Dead and Loving It,1995-12-22,Released,Dracula: Dead and Loving It
False,"{'id': 117693, 'name': 'Balto Collection', 'poster_path': '/w0ZgH6Lgxt2bQYnf1ss74UvYftm.jpg', 'backdrop_path': '/9VM5LiJV0bGb1st1KyHA3cVnO2G.jpg'}",21032,en,Balto,1995-12-22,Released,Balto
False,,10858,en,Nixon,1995-12-22,Released,Nixon
False,,1408,en,Cutthroat Island,1995-12-22,Released,Cutthroat Island
False,,524,en,Casino,1995-11-22,Released,Casino
False,,4584,en,Sense and Sensibility,1995-12-13,Released,Sense and Sensibility
False,,5,en,Four Rooms,1995-12-09,Released,Four Rooms
False,"{'id': 3167, 'name': 'Ace Ventura Collection', 'poster_path': '/qCxH543pScFed1CycwJ1nVgrkOc.jpg', 'backdrop_path': '/bswWgdDsLu0fhWMYUzLF8XgiK4h.jpg'}",9273,en,Ace Ventura: When Nature Calls,1995-11-10,Released,Ace Ventura: When Nature Calls
False,,11517,en,Money Train,1995-11-21,Released,Money Train
False,"{'id': 91698, 'name': 'Chili Palmer Collection', 'poster_path': '/ae3smJDdWrMJ77tDpYOrpo4frKq.jpg', 'backdrop_path': '/uWaANGQeoSs5vSP1CWtlkDrkqei.jpg'}",8012,en,Get Shorty,1995-10-20,Released,Get Shorty
False,,1710,en,Copycat,1995-10-27,Released,Copycat
False,,9691,en,Assassins,1995-10-06,Released,Assassins
False,,12665,en,Powder,1995-10-27,Released,Powder
False,,451,en,Leaving Las Vegas,1995-10-27,Released,Leaving Las Vegas
False,,16420,en,Othello,1995-12-15,Released,Othello
False,,9263,en,Now and Then,1995-10-20,Released,Now and Then
False,,17015,en,Persuasion,1995-09-27,Released,Persuasion
False,,902,fr,La Cité des Enfants Perdus,1995-05-16,Released,The City of Lost Children
False,,37557,zh,摇啊摇，摇到外婆桥,1995-04-30,Released,Shanghai Triad
False,,9909,en,Dangerous Minds,1995-08-11,Released,Dangerous Minds
False,,63,en,Twelve Monkeys,1995-12-29,Released,Twelve Monkeys
False,,78802,fr,"Guillaumet, les ailes du courage",1996-09-18,Released,Wings of Courage
False,"{'id': 9435, 'name': 'Babe Collection', 'poster_path': '/jgnah0k4AumfcZE4HHMJywYHvG6.jpg', 'backdrop_path': '/zRWuGdIlkWqXMQcs1t3sPy1XQ6x.jpg'}",9598,en,Babe,1995-07-18,Released,Babe
False,,47018,en,Carrington,1995-11-08,Released,Carrington
False,,687,en,Dead Man Walking,1995-12-29,Released,Dead Man Walking
False,,139405,en,Across the Sea of Time,1995-10-20,Released,Across the Sea of Time
False,,33689,en,It Takes Two,1995-11-17,Released,It Takes Two
False,,9603,en,Clueless,1995-07-19,Released,Clueless
False,,34615,en,"Cry, the Beloved Country",1995-12-15,Released,"Cry, the Beloved Country"
False,,31174,en,Richard III,1995-12-29,Released,Richard III
False,,11443,en,Dead Presidents,1995-10-06,Released,Dead Presidents
False,,35196,en,Restoration,1995-12-29,Released,Restoration
